x,y,z
-31,-3,0
-42,-4,0
-42,-4,0
-42,-4,0
-42,-4,0
-54,-2,0
-54,-2,0
-54,-2,0
-54,-2,0
-66,0,0
-66,0,0
-66,0,0
-79,0,1
-79,0,1
-79,0,1
-79,0,1
-94,0,1
-94,0,1
-94,0,1
-94,0,1
-109,-1,1
-109,-1,1
-109,-1,1
-109,-1,1
-125,-2,0
-125,-2,0
-125,-2,0
-125,-2,0
-139,-5,0
-139,-5,0
-139,-5,0
-152,-5,1
-152,-5,1
-152,-5,1
-152,-5,1
-164,-2,4
-164,-2,4
-164,-2,4
-164,-2,4
-177,3,7
-177,3,7
-177,3,7
-187,8,7
-187,8,7
-187,8,7
-187,8,7
-192,13,8
-192,13,8
-192,13,8
-192,13,8
-193,19,7
-193,19,7
-193,19,7
-193,19,7
-192,23,5
-192,23,5
-192,23,5
-195,21,4
-195,21,4
-195,21,4
-195,21,4
-204,16,2
-204,16,2
-204,16,2
-204,16,2
-213,14,1
-213,14,1
-213,14,1
-220,16,1
-220,16,1
-220,16,1
-220,16,1
-226,17,0
-226,17,0
-226,17,0
-226,17,0
-231,16,0
-231,16,0
-231,16,0
-233,15,-1
-233,15,-1
-233,15,-1
-233,15,-1
-234,19,-2
-234,19,-2
-234,19,-2
-234,19,-2
-235,28,-2
-235,28,-2
-235,28,-2
-236,35,-2
-236,35,-2
-236,35,-2
-236,35,-2
-235,40,-2
-235,40,-2
-235,40,-2
-232,41,-3
-232,41,-3
-232,41,-3
-232,41,-3
-224,37,-3
-224,37,-3
-224,37,-3
-211,30,-4
-211,30,-4
-211,30,-4
-211,30,-4
-199,26,-6
-199,26,-6
-199,26,-6
-191,26,-10
-191,24,-10
-191,24,-10
-191,24,-10
-188,19,-11
-188,19,-11
-188,19,-11
-188,15,-11
-188,15,-11
-188,15,-11
-188,15,-11
-189,14,-10
-189,14,-10
-189,14,-10
-190,16,-9
-190,16,-9
-190,16,-9
-190,16,-9
-189,13,-9
-189,13,-9
-189,13,-9
-186,9,-9
-186,9,-9
-186,9,-9
-186,9,-9
-181,6,-10
-181,6,-10
-181,6,-10
-181,6,-10
-175,8,-12
-175,8,-12
-175,8,-12
-170,7,-12
-170,7,-12
-170,7,-12
