x,y,z
-2,2,32
-2,2,32
-2,2,32
-2,2,32
-1,1,33
-1,1,33
-1,1,33
-1,1,33
0,0,34
0,0,34
0,0,34
0,0,34
0,-1,34
0,-1,34
0,-1,34
0,-1,34
1,-1,34
1,-1,34
1,-1,34
1,-1,34
0,-1,34
0,-1,34
0,-1,34
0,0,34
0,0,34
0,0,34
0,0,34
-4,0,34
0,0,34
0,0,34
0,0,34
0,0,32
0,0,32
0,0,32
0,0,32
0,0,32
0,0,31
0,0,31
0,0,31
0,0,31
0,0,30
0,0,30
0,0,30
0,0,30
0,0,29
0,0,29
0,0,29
0,0,29
0,0,28
0,0,28
0,0,28
0,0,28
-1,0,26
-1,0,26
-1,0,26
-1,0,26
-2,0,24
-2,0,24
-2,0,24
-2,0,24
-3,0,23
-3,0,23
-3,0,23
-3,0,23
-2,-1,22
-2,-1,22
-2,-1,22
-1,-1,20
-1,-1,20
-1,-1,20
-1,-1,20
0,-1,19
0,-1,19
0,-1,19
0,-1,19
0,-1,17
0,-1,17
0,-1,17
0,-1,17
0,-2,15
0,-2,15
0,-2,15
0,-2,15
0,-2,12
0,-2,12
0,-2,12
0,-2,12
-1,-2,9
-1,-2,9
-1,-2,9
-1,-2,9
0,-1,7
0,-1,7
0,-1,7
0,-1,7
0,-2,4
0,-2,4
0,-2,4
0,-2,4
0,-3,1
0,-3,1
0,-3,1
0,-3,1
0,-3,0
0,-3,0
0,-3,0
0,-3,0
-1,-5,-2
-1,-5,-2
-1,-5,-2
-1,-5,-2
-2,-5,-4
-2,-5,-4
-2,-5,-4
-2,-5,-4
-2,-5,-7
-2,-5,-7
-2,-5,-7
-3,-5,-10
-3,-5,-10
-3,-5,-10
-3,-5,-10
-4,-4,-13
-4,-4,-13
-4,-4,-13
-4,-4,-13
-4,-4,-16
-4,-4,-16
-4,-4,-16
-1,-5,-18
-1,-5,-18
-1,-5,-18
-1,-5,-18
1,-6,-20
1,-6,-20
1,-6,-20
1,-6,-20
4,-8,-22
4,-8,-22
4,-8,-22
4,-8,-22
5,-9,-23
5,-9,-23
5,-9,-23
5,-9,-24
6,-9,-24
6,-9,-24
6,-9,-24
6,-8,-26
6,-8,-26
6,-8,-26
6,-8,-26
5,-7,-27
5,-7,-27
5,-7,-27
5,-7,-27
2,-6,-28
2,-6,-28
2,-6,-28
2,-6,-28
1,-5,-30
1,-5,-30
1,-5,-30
1,-5,-32
1,-5,-32
1,-5,-32
1,-5,-32
1,-4,-35
1,-4,-35
1,-4,-35
1,-4,-35
1,-3,-36
1,-3,-36
1,-3,-36
1,-3,-36
1,-2,-38
1,-2,-38
1,-2,-38
1,-2,-38
0,-1,-38
0,-1,-38
0,-1,-38
0,-2,-39
0,-2,-39
0,-2,-39
0,-2,-39
0,-2,-40
0,-2,-40
0,-2,-40
0,-2,-40
1,-3,-41
1,-3,-41
1,-3,-41
1,-3,-41
3,-3,-41
3,-3,-41
3,-3,-41
3,-3,-41
3,-3,-42
3,-3,-42
3,-3,-42
3,-4,-42
3,-4,-42
3,-4,-42
3,-4,-42
